title,creator,collection,objectid,filename,youtubeid,imagelink,publisher/publication,place,date,description,subject,,physical location,identifier,formatoriginal,type,format,language,rights,rightsstatement
Josephy Library at Fishtrap,,Wallowa County History Collection,Josephy-Library-at-Fishtrap,,,,Josephy Library,"Enterprise, OR",2015,(two copies),,,Ephemera Box,Josephy-Library-at-Fishtrap,Nez Perce Ephemera,record,listing,eng,,
At Wallowa Lake,,Wallowa County History Collection,At-Wallowa-Lake,,,,,"Joseph, OR",,(includes info on Eagle Cap Wilderness Station at Wallowa Lake),,,Ephemera Box,At-Wallowa-Lake,Nez Perce Ephemera,record,listing,eng,,
Wallowa: Gateway to the land of Chief Joseph...Wallowa and Nez Perce history,Oregon Division of Continuing Education,Wallowa County History Collection,Wallowa-Gateway-to-the-land-of-Chief-Joseph-Wallowa-and-Nez-Perce-history,,,,Oregon Division of Continuing Education,"La Grande, OR",1973-07-29,,,,Ephemera Box,Wallowa-Gateway-to-the-land-of-Chief-Joseph-Wallowa-and-Nez-Perce-history,Nez Perce Ephemera,record,listing,eng,,
Wallowa Lake: Best Kept Secret,Chieftain,Wallowa County History Collection,Wallowa-Lake-Best-Kept-Secret,,,,Chieftain,"Enterprise, OR",,Wallowa Co. Chieftain supplement,,,Ephemera Box,Wallowa-Lake-Best-Kept-Secret,Nez Perce Ephemera,record,listing,eng,,
Wallowa ’73: Continuing Education at Wallowa Lake,,Wallowa County History Collection,Wallowa-73-Continuing-Education-at-Wallowa-Lake,,,,,,,,,,Ephemera Box,Wallowa-73-Continuing-Education-at-Wallowa-Lake,Nez Perce Ephemera,record,listing,eng,,
Wallowa Lake Lodge: the Switzerland of America,,Wallowa County History Collection,Wallowa-Lake-Lodge-the-Switzerland-of-America,,,,,"Joseph, OR",,,,,Ephemera Box,Wallowa-Lake-Lodge-the-Switzerland-of-America,Nez Perce Ephemera,record,listing,eng,,
Wallowa Valley Art Festival: sixteenth annual,,Wallowa County History Collection,Wallowa-Valley-Art-Festival-sixteenth-annual,,,,,"Joseph, OR",,,,,Ephemera Box,Wallowa-Valley-Art-Festival-sixteenth-annual,Nez Perce Ephemera,record,listing,eng,,
Farwell to Hells Canyon,John Skow,Wallowa County History Collection,Farwell-to-Hells-Canyon,,,,Saturday Evening Post,,1967-07-01,,,,,Farwell-to-Hells-Canyon,WC History Collection,record,listing,eng,,
NE Oregon’s Magazine,,Wallowa County History Collection,NE-Oregon-s-Magazine,,,,,,2016,,,,,NE-Oregon-s-Magazine,WC History Collection,record,listing,eng,,
A Picturesque Burial Ceremony,D.B. Reavis,Wallowa County History Collection,A-Picturesque-Burial-Ceremony,,,,"The Pacific Northwest (Vol. 1, No. 1)",,1928,"on Old Chief Joseph reburial, including photos, May 1928 (on shelf with Alvin Josephy magazine articles)",,,,A-Picturesque-Burial-Ceremony,WC History Collection,record,listing,eng,,
"The Rustic Valley Vol. IV, No. 1; A Foxfire Project",,Wallowa County History Collection,The-Rustic-Valley-Vol-IV-No-1-A-Foxfire-Project,,,,,,1991-04-01,April 1991 edition,,,,The-Rustic-Valley-Vol-IV-No-1-A-Foxfire-Project,WC History Collection,record,listing,eng,,
Signal Mountain: Northeast Oregon’s Own Historical Magazine,,Wallowa County History Collection,Signal-Mountain-Northeast-Oregon-s-Own-Historical-Magazine,,,,Signal Moutain,"Enterprise,OR",1997;1998;1999;2000;2001,"Includes: Summer 1997 vol. 1, no. 1, (two copies); Fall 1997 vol. 1, no. 2; Spring 1998 vol. 1, no. 4; Summer 1998 vol. 1, no. 5; Fall 1998 vol. 1, no. 6 (two copies);Winter 1998/1999 vol. 1, no. 7 (two copies); Spring 1999 vol. 1, no. 8 (two copies);Summer 1999 vol. 2, no. 1 (two copies); Fall 1999 vol. 2, no. 2 (two copies);Winter 1999-2000 vol. 2, no. 3 (two copies), 'Otis Halfmoon and the Nez Perce'; Spring 2000 vol.2, no. 4; Spring 2001 vol. 2 no. 5",,,,Signal-Mountain-Northeast-Oregon-s-Own-Historical-Magazine,WC History Collection,record,listing,eng,,
The Deepest Canyon on the Continent,,Wallowa County History Collection,The-Deepest-Canyon-on-the-Continent,,,,Travel,,1992-05-01,"p. 10, May 1992",,,,The-Deepest-Canyon-on-the-Continent,WC History Collection,record,listing,eng,,
The Wallowas - 2012 Wallowa County Visitor Guide,,Wallowa County History Collection,The-Wallowas-2012-Wallowa-County-Visitor-Guide,,,,allowa County Chieftain,"Enterprise, OR",2012,,,,,The-Wallowas-2012-Wallowa-County-Visitor-Guide,WC History Collection,record,listing,eng,,
"The Bly (and Edgmand) Ranch, A Pictorial History",Mike Edgmand,Wallowa County History Collection,The-Bly-and-Edgmand-Ranch-A-Pictorial-History,,,,,,2005-11-05,"Includes: Ranch History: An Addendum, Mike Edgmand, July 4, 2006; Traveling to Lower Joseph Creek: A Pictorial History, Mike Edgmand, undated",,,,The-Bly-and-Edgmand-Ranch-A-Pictorial-History,manuscripts,record,listing,eng,,
The Horner Papers Index,Melanie Harvey,Wallowa County History Collection,The-Horner-Papers-Index,,,,,,2004,"Includes: Box 1, Vol. 1, A; Vol. 2, A; Vol. 1, B; Vol. 2, B",,,,The-Horner-Papers-Index,manuscripts,record,listing,eng,,
Historical Sketches of the Wallowa National Forest,Gerald J. Tucker,Wallowa County History Collection,Historical-Sketches-of-the-Wallowa-National-Forest,,,,,,1954,"Includes: Folders One and Two
",,,,Historical-Sketches-of-the-Wallowa-National-Forest,manuscripts,record,listing,eng,,
Avery Bell Celebrates 81st Birthday; Tells of Early Life on Upper Imnaha,Avery Bell,Wallowa County History Collection,Avery-Bell-Celebrates-81st-Birthday-Tells-of-Early-Life-on-Upper-Imnaha,,,,Wallowa Co. Chieftain,"Enterprise, OR,",1962-10-18,,,,,Avery-Bell-Celebrates-81st-Birthday-Tells-of-Early-Life-on-Upper-Imnaha,WC History Collection,record,listing,eng,,
Bombers Landing an Emotional Event,,Wallowa County History Collection,Bombers-Landing-an-Emotional-Event,,,,Wallowa County Chieftain,"Enterprise, OR,",2013-01-30,"re: May 30, 1944",,,,Bombers-Landing-an-Emotional-Event,WC History Collection,record,listing,eng,,
Enterprise High School Class of 1937,,Wallowa County History Collection,Enterprise-High-School-Class-of-1937,,,,Wallowa County Chieftain,"Enterprise, OR",1987-07-19,newspaper photo of 60th year reunion,,,,Enterprise-High-School-Class-of-1937,WC History Collection,record,listing,eng,,
Fire Destroys Landmark Building,,Wallowa County History Collection,Fire-Destroys-Landmark-Building,,,,Wallowa County Chieftain,"Enterprise, OR",1991-10-03,"re: Enterprise HS, first public high school, later hospital and apartments",,,,Fire-Destroys-Landmark-Building,WC History Collection,record,listing,eng,,
The Fruit Merchants of Hells Canyon: the story of Archibald Ritchie & John Eckles on the Payette National Forest,Sheila D. Reddy,Wallowa County History Collection,The-Fruit-Merchants-of-Hells-Canyon-the-story-of-Archibald-Ritchie-John-Eckles-on-the-Payette-National-Forest,,,,"US Dept. of Agriculture, Intermountain Region",,1994-10-01,Issue: October 1994,,,,The-Fruit-Merchants-of-Hells-Canyon-the-story-of-Archibald-Ritchie-John-Eckles-on-the-Payette-National-Forest,WC History Collection,record,listing,eng,,
"Growth and Trends in Emigrant Populations: Wallowa Precinct of Union Co., OR 1871-1930",Jon and Donna Skovlin,Wallowa County History Collection,Growth-and-Trends-in-Emigrant-Populations-Wallowa-Precinct-of-Union-Co-OR-1871-1930,,,,Union Co. Cultural Enrichment Grant,"Union County, Oregon",2007-05-15,Produced for county enrichment grant in May 2007,,,,Growth-and-Trends-in-Emigrant-Populations-Wallowa-Precinct-of-Union-Co-OR-1871-1930,WC History Collection,record,listing,eng,,
Joseph Bank Robbery Ended on a Happy Note,Grace Bartlett,Wallowa County History Collection,Joseph-Bank-Robbery-Ended-on-a-Happy-Note,,,,,"Walla Walla, WA",1971,"(story of Dave Tucker, a local man who after serving time for his part in the robbery, became vice-president of the bank)",,,,Joseph-Bank-Robbery-Ended-on-a-Happy-Note,WC History Collection,record,listing,eng,,
The McClaren Ranch,,Wallowa County History Collection,The-McClaren-Ranch,,,,Western Horseman,,1998-07-01,July 1998 issue,,,,The-McClaren-Ranch,WC History Collection,record,listing,eng,,
Portland Hunter Dies After Dramatic Rescue,,Wallowa County History Collection,Portland-Hunter-Dies-After-Dramatic-Rescue,,,,Wallowa County Chieftain,"Enterprise, OR",1992-11-12,"Nov. 12, 1992 edition",,,,Portland-Hunter-Dies-After-Dramatic-Rescue,WC History Collection,record,listing,eng,,
"Postcards of Minam Hotel and The Loop, Lewiston Hill Highway, ID",,Wallowa County History Collection,Postcards-of-Minam-Hotel-and-The-Loop-Lewiston-Hill-Highway-ID,,,,,,,,,,,Postcards-of-Minam-Hotel-and-The-Loop-Lewiston-Hill-Highway-ID,WC History Collection,record,listing,eng,,
"The Snake River Massacre of Chinese Miners, 1887",Davis H. Stratton,Wallowa County History Collection,The-Snake-River-Massacre-of-Chinese-Miners-1887,,,,,,,"in Chap. 8, A Taste of the West: Essays in Honor of Robert G. Athearn",,,,The-Snake-River-Massacre-of-Chinese-Miners-1887,WC History Collection,record,listing,eng,,
Uncovering a Massacre ,,Wallowa County History Collection,Uncovering-a-Massacre-,,,,"Lewiston Morning Tribune: September 18, 1995 edition","Lewiston, ID",1995-09-18,files on an 1887 ambush of Chinese gold miners crop up in a courthouse safe,,,,Uncovering-a-Massacre-,WC History Collection,record,listing,eng,,
Three Men of Wallowa,George Truman Kercheval,Wallowa County History Collection,Three-Men-of-Wallowa,,,,,,1888,"A chapter from Lorin Mooruck and Other Indian Stories by George Truman Kercheval, 1888",,,,Three-Men-of-Wallowa,WC History Collection,record,listing,eng,,
Urban Growth Zoning Fools Local Officials,,Wallowa County History Collection,Urban-Growth-Zoning-Fools-Local-Officials,,,,Wallowa County Chieftain,"Enterprise, OR",1991-10-24,,,,,Urban-Growth-Zoning-Fools-Local-Officials,WC History Collection,record,listing,eng,,
"Wallowa County’s First 100 Years, includeing article ‘Nez Perce Battled to Keep Homeland",Grace Bartlett,Wallowa County History Collection,Wallowa-County-s-First-100-Years-includeing-article-Nez-Perce-Battled-to-Keep-Homeland,,,,The Observer,"La Grande, OR",1987-02-12,,,,,Wallowa-County-s-First-100-Years-includeing-article-Nez-Perce-Battled-to-Keep-Homeland,WC History Collection,record,listing,eng,,
Wallowa County listing of Oral History Resources in Wallowa County Museum,,Wallowa County History Collection,Wallowa-County-listing-of-Oral-History-Resources-in-Wallowa-County-Museum,,,,Wallowa County Museum,"Joseph, OR",,prepared by Caryl Coppin,,,,Wallowa-County-listing-of-Oral-History-Resources-in-Wallowa-County-Museum,WC History Collection,record,listing,eng,,
Wallowa County Map,,Wallowa County History Collection,Wallowa-County-Map,,,,,,1974,(on shelf of Wallowa Country material),,,,Wallowa-County-Map,WC History Collection,record,listing,eng,,
Wallowa County Railroad Logging History: a few talking points,,Wallowa County History Collection,Wallowa-County-Railroad-Logging-History-a-few-talking-points,,,,,,1914-01-14,"With DVD -- pertains to January 14, 1914 not made then",,,,Wallowa-County-Railroad-Logging-History-a-few-talking-points,WC History Collection,record,listing,eng,,
Wallowa Co. Chieftain Special Edition,,Wallowa County History Collection,Wallowa-Co-Chieftain-Special-Edition,,,,Wallowa County Chieftain,"Enterprise, OR",1949-06-23,,,,,Wallowa-Co-Chieftain-Special-Edition,WC History Collection,record,listing,eng,,
Wallowa Co. Chieftain Special Centennial Edition,,Wallowa County History Collection,Wallowa-Co-Chieftain-Special-Centennial-Edition,,,,Wallowa County Chieftain,"Enterprise, OR",1987,,,,,Wallowa-Co-Chieftain-Special-Centennial-Edition,WC History Collection,record,listing,eng,,
Wave of Fire Plagues Enterprise: 1970-71,,Wallowa County History Collection,Wave-of-Fire-Plagues-Enterprise-1970-71,,,,WWallowa County Chieftain,"Enterprise, OR",2016-02-24,,,,,Wave-of-Fire-Plagues-Enterprise-1970-71,WC History Collection,record,listing,eng,,
Background to the Treaty with the Nez Perce in 1855,"Chris Lewis""",Wallowa County History Collection,Background-to-the-Treaty-with-the-Nez-Perce-in-1855,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,Background-to-the-Treaty-with-the-Nez-Perce-in-1855,manuscripts,record,listing,eng,,
The Basque in Wallowa County: Cherry Creek Sheep Country,author unknown,Wallowa County History Collection,The-Basque-in-Wallowa-County-Cherry-Creek-Sheep-Country,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,The-Basque-in-Wallowa-County-Cherry-Creek-Sheep-Country,manuscripts,record,listing,eng,,
Biography of Fred C. Himelwright,Maxine (Himelwright) Kooch,Wallowa County History Collection,Biography-of-Fred-C-Himelwright,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,Biography-of-Fred-C-Himelwright,manuscripts,record,listing,eng,,
Buildings of Wallowa: Past and Present,Nancy L. Attebury,Wallowa County History Collection,Buildings-of-Wallowa-Past-and-Present,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,Buildings-of-Wallowa-Past-and-Present,manuscripts,record,listing,eng,,
Chief Joseph – War Chief,Debbie Hadden,Wallowa County History Collection,Chief-Joseph-War-Chief,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,Chief-Joseph-War-Chief,manuscripts,record,listing,eng,,
"A Duel Biography Concerning Edith Varner Reese and Robert Reese, Jr.",Charleen R. Haines,Wallowa County History Collection,A-Duel-Biography-Concerning-Edith-Varner-Reese-and-Robert-Reese-Jr-,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,A-Duel-Biography-Concerning-Edith-Varner-Reese-and-Robert-Reese-Jr-,manuscripts,record,listing,eng,,
Emmett and Erma: Beyond the Hard Times,Bette Huste,Wallowa County History Collection,Emmett-and-Erma-Beyond-the-Hard-Times,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,Emmett-and-Erma-Beyond-the-Hard-Times,manuscripts,record,listing,eng,,
Eureka,Floyd McCadden,Wallowa County History Collection,Eureka,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,Eureka,manuscripts,record,listing,eng,,
"First Postmistress – Zumwalt, Oregon",Kathy Leonard,Wallowa County History Collection,First-Postmistress-Zumwalt-Oregon,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,First-Postmistress-Zumwalt-Oregon,manuscripts,record,listing,eng,,
Historical Encounters Along the Snake River,Charles G. Haines,Wallowa County History Collection,Historical-Encounters-Along-the-Snake-River,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,Historical-Encounters-Along-the-Snake-River,manuscripts,record,listing,eng,,
History of Agriculture in the Imnaha River Country,Walter R. Eichler,Wallowa County History Collection,History-of-Agriculture-in-the-Imnaha-River-Country,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,History-of-Agriculture-in-the-Imnaha-River-Country,manuscripts,record,listing,eng,,
History of the Rocky Mountain Bighorn Sheep in Wallowa County,Vern Woosley,Wallowa County History Collection,History-of-the-Rocky-Mountain-Bighorn-Sheep-in-Wallowa-County,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,History-of-the-Rocky-Mountain-Bighorn-Sheep-in-Wallowa-County,manuscripts,record,listing,eng,,
History of the Rocky Mountain Goat in Wallowa County,Vern Woosley,Wallowa County History Collection,History-of-the-Rocky-Mountain-Goat-in-Wallowa-County,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,History-of-the-Rocky-Mountain-Goat-in-Wallowa-County,manuscripts,record,listing,eng,,
A History of the Wallowa County Chieftain,Gail M. Swart,Wallowa County History Collection,A-History-of-the-Wallowa-County-Chieftain,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,A-History-of-the-Wallowa-County-Chieftain,manuscripts,record,listing,eng,,
History of the Wallowa Valley,Lorris J. Wade,Wallowa County History Collection,History-of-the-Wallowa-Valley,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,History-of-the-Wallowa-Valley,manuscripts,record,listing,eng,,
Homestead Development of Pittsburgh Ranch,Linda Farrington,Wallowa County History Collection,Homestead-Development-of-Pittsburgh-Ranch,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,Homestead-Development-of-Pittsburgh-Ranch,manuscripts,record,listing,eng,,
The Schoolboy and the Teacher: an oral history of early Wallowa County,Don McAllister,Wallowa County History Collection,The-Schoolboy-and-the-Teacher-an-oral-history-of-early-Wallowa-County,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,The-Schoolboy-and-the-Teacher-an-oral-history-of-early-Wallowa-County,manuscripts,record,listing,eng,,
A Study of the Nez Perce Diet,Alltrina Wisha,Wallowa County History Collection,A-Study-of-the-Nez-Perce-Diet,,,,,"Enterprise, OR",1979-04-15,"April 1979 student paper for the class,'History of Wallowa County,’ for instructors Grace Bartlett and Dr. Charles Coate",,,,A-Study-of-the-Nez-Perce-Diet,manuscripts,record,listing,eng,,
"About Wallowa County: People, Places, Images",edited by Ellie Belew,Wallowa County History Collection,About-Wallowa-County-People-Places-Images,,,,Pika Press,"Enterprise, OR",2000,,,,,About-Wallowa-County-People-Places-Images,Books,record,listing,eng,,
An American Vignette,Jerry Gildemeister,Wallowa County History Collection,An-American-Vignette,,,,The Bear Wallow Publishing Company,"Union, OR",1988,,,,,An-American-Vignette,Books,record,listing,eng,,
Around the Cat’s Back,Jerry Gildemeister,Wallowa County History Collection,Around-the-Cat-s-Back,,,,The Bear Wallow Publishing Company,"Union, OR",1989,(compiled from the writings and diaries of Daisy and Caroline Wasson),,,,Around-the-Cat-s-Back,Books,record,listing,eng,,
Autumn Across America,Edwin Way Teale,Wallowa County History Collection,Autumn-Across-America,,,,"Dodd, Mead & Company",New York,1956,,,,,Autumn-Across-America,Books,record,listing,eng,,
"About Wallowa County: People, Places, Images",edited by Ellie Belew,Wallowa County History Collection,About-Wallowa-County-People-Places-Images,,,,Pika Press,"Enterprise, OR",2000,,,,,About-Wallowa-County-People-Places-Images,Books,record,listing,eng,,
An American Vignette,Jerry Gildemeister,Wallowa County History Collection,An-American-Vignette,,,,The Bear Wallow Publishing Company,"Union, OR",1988,,,,,An-American-Vignette,Books,record,listing,eng,,
Around the Cat’s Back,Jerry Gildemeister,Wallowa County History Collection,Around-the-Cat-s-Back,,,,The Bear Wallow Publishing Company,"Union, OR",1989,(compiled from the writings and diaries of Daisy and Caroline Wasson),,,,Around-the-Cat-s-Back,Books,record,listing,eng,,
Autumn Across America,Edwin Way Teale,Wallowa County History Collection,Autumn-Across-America,,,,"Dodd, Mead & Company",New York,1956,,,,,Autumn-Across-America,Books,record,listing,eng,,
Bits of Wallowa County Lore,Claudia Killough,Wallowa County History Collection,Bits-of-Wallowa-County-Lore,,,,Wallowa County Chieftain,"Enterprise, OR",1971,,,,,Bits-of-Wallowa-County-Lore,Books,record,listing,eng,,
Carving the North End Wilderness: Flora,F. Lorlene Beddow,Wallowa County History Collection,Carving-the-North-End-Wilderness-Flora,,,,Crooked Arrow Publishing Co.,"Portland, OR",,(not dated),,,,Carving-the-North-End-Wilderness-Flora,Books,record,listing,eng,,
"Chief Joseph’s Alps: The Wallowas, Land of Winding Waters",Dallas William Green,Wallowa County History Collection,Chief-Joseph-s-Alps-The-Wallowas-Land-of-Winding-Waters,,,,Golden Bell Press,"Denver, CO.",1972,,,,,Chief-Joseph-s-Alps-The-Wallowas-Land-of-Winding-Waters,Books,record,listing,eng,,
Edith May,Thelma McCulloch (niece) self-published,Wallowa County History Collection,Edith-May,,,,"Joseph, OR",not dated,,"Typography and Design, Verni Moore (niece)",,,,Edith-May,Books,record,listing,eng,,
"Fellers and Things: a Collection of Crude, Rough and Rude Rhymes of a Past and a Fast Passing Generation",Ben Weathers,Wallowa County History Collection,Fellers-and-Things-a-Collection-of-Crude-Rough-and-Rude-Rhymes-of-a-Past-and-a-Fast-Passing-Generation,,,,Wallowa County Chieftain,"Enterprise, OR",1960,,,,,Fellers-and-Things-a-Collection-of-Crude-Rough-and-Rude-Rhymes-of-a-Past-and-a-Fast-Passing-Generation,Books,record,listing,eng,,
5200 Thursdays in the Wallowas: A Centennial History of the Wallowa County Chieftain,Lloyd W. Coffman,Wallowa County History Collection,5200-Thursdays-in-the-Wallowas-A-Centennial-History-of-the-Wallowa-County-Chieftain,,,,Wallowa County Chieftain,"Enterprise, OR",1984,,,,,5200-Thursdays-in-the-Wallowas-A-Centennial-History-of-the-Wallowa-County-Chieftain,Books,record,listing,eng,,
"The Flora Country: the Hardships and Struggles of the Matt Devin Family As Pioneers in Northern Wallowa County, Oregon",Ira R. Devin,Wallowa County History Collection,The-Flora-Country-the-Hardships-and-Struggles-of-the-Matt-Devin-Family-As-Pioneers-in-Northern-Wallowa-County-Oregon,,,,Lower Columbia College,"Longview, WA",1971,edited by Carl Devin,,,,The-Flora-Country-the-Hardships-and-Struggles-of-the-Matt-Devin-Family-As-Pioneers-in-Northern-Wallowa-County-Oregon,Books,record,listing,eng,,
Four Lines a Day: the Life and Times of an Imnaha Ranch Woman,Janie Tippett,Wallowa County History Collection,Four-Lines-a-Day-the-Life-and-Times-of-an-Imnaha-Ranch-Woman,,,,Pika Press,"Enterprise, OR",2010,,,,,Four-Lines-a-Day-the-Life-and-Times-of-an-Imnaha-Ranch-Woman,Books,record,listing,eng,,
From the Wallowas,Grace Bartlett,Wallowa County History Collection,From-the-Wallowas,,,,Pika Press,"Enterprise, OR",1992,,,,,From-the-Wallowas,Books,record,listing,eng,,
Gateway to the Wallowas,Irene Locke Barklow,Wallowa County History Collection,Gateway-to-the-Wallowas,,,,Enchantments Publishing of Oregon,"Wallowa, OR",2003,,,,,Gateway-to-the-Wallowas,Books,record,listing,eng,,
Geology of Oregon,Ewart M. Baldwin,Wallowa County History Collection,Geology-of-Oregon,,,,Kendall Hunt Publishing Co.,"Dubuque, IA",1976,,,,,Geology-of-Oregon,Books,record,listing,eng,,
"The Geology of Part of the Wallowa Mountains, bulletin no. 3",C.P. Ross of the United States Geological Survey,Wallowa County History Collection,The-Geology-of-Part-of-the-Wallowa-Mountains-bulletin-no-3,,,,State of Oregon Department of Geology and Mineral Industries,"Portland, OR",1938,,,,,The-Geology-of-Part-of-the-Wallowa-Mountains-bulletin-no-3,Books,record,listing,eng,,
"Gone But Not Forgotten: the Pioneers of the I.O.O.F Cemetery, Joseph, OR, Their Lives and Times",compiled by the Hurricane Creek Grange Community Service Committee,Wallowa County History Collection,Gone-But-Not-Forgotten-the-Pioneers-of-the-I-O-O-F-Cemetery-Joseph-OR-Their-Lives-and-Times,,,,the Hurricane Creek Grange,,1998,,,,,Gone-But-Not-Forgotten-the-Pioneers-of-the-I-O-O-F-Cemetery-Joseph-OR-Their-Lives-and-Times,Books,record,listing,eng,,
"Hell’s Canyon, the Deepest Gorge on Earth",William Ashworth,Wallowa County History Collection,Hell-s-Canyon-the-Deepest-Gorge-on-Earth,,,,"Hawthorne Books, Inc.","Publishers, NY",1977,,,,,Hell-s-Canyon-the-Deepest-Gorge-on-Earth,Books,record,listing,eng,,
"Hell’s Canyon & the Middle Snake River, a story of the land and its people",Carole Simon-Smolinski,Wallowa County History Collection,Hell-s-Canyon-the-Middle-Snake-River-a-story-of-the-land-and-its-people,,,,Confluence Press,"Lewiston, ID",2008,"(includes Ralph ""Ace” Barton’s obit in Chieftain 9/11/13)",,,,Hell-s-Canyon-the-Middle-Snake-River-a-story-of-the-land-and-its-people,Books,record,listing,eng,,
Heritage of the Wallowas: Life as it was . . .,Ethel Halsey Scott,Wallowa County History Collection,Heritage-of-the-Wallowas-Life-as-it-was-,,,,"The Record Courier, Printers","Baker, OR",1980,,,,,Heritage-of-the-Wallowas-Life-as-it-was-,Books,record,listing,eng,,
Hiking the High Wallowas and Hell’s Canyon,"edited by Frank Conley (preface to revised edition, Rich Wandschneider)",Wallowa County History Collection,Hiking-the-High-Wallowas-and-Hell-s-Canyon,,,,Pika Press,"Enterprise, OR",1995,,,,,Hiking-the-High-Wallowas-and-Hell-s-Canyon,Books,record,listing,eng,,
Hiking Oregon’s Geology,Ellen Morris Bishop and John Eliot Allen,Wallowa County History Collection,Hiking-Oregon-s-Geology,,,,The Mountaineers,"Seattle, WA",1996,,,,,Hiking-Oregon-s-Geology,Books,record,listing,eng,,
"Historic Glimpses of Asotin County, Washington",Judge Elgin V. Kuykendall,Wallowa County History Collection,Historic-Glimpses-of-Asotin-County-Washington,,,,Clarkston Herald Press,"Clarkston, WA",1954,,,,,Historic-Glimpses-of-Asotin-County-Washington,Books,record,listing,eng,,
Home Below Hell’s Canyon,Grace Jordan,Wallowa County History Collection,Home-Below-Hell-s-Canyon,,,,"Thomas Y. Crowell ""Company","NY""",1954,,,,,Home-Below-Hell-s-Canyon,Books,record,listing,eng,,
I Remember,a Memoir of Homesteading Days in Oregon’s Wallowa Valley,Wallowa County History Collection,I-Remember,,,,Kate J. Goebel,Bear Creek Press,2002,,,,,I-Remember,Books,record,listing,eng,,
"Life in Hell’s Canyon, a private view","Doris ""Wilson",Wallowa County History Collection,Life-in-Hell-s-Canyon-a-private-view,,,,CHJ Publishing,"Middleton, ID",2002,,,,,Life-in-Hell-s-Canyon-a-private-view,Books,record,listing,eng,,
"Living with Thunder: Exploring the Geologic Past, Present and Future of the Pacific Northwest",Ellen Morris Bishop,Wallowa County History Collection,Living-with-Thunder-Exploring-the-Geologic-Past-Present-and-Future-of-the-Pacific-Northwest,,,,Oregon State University Press,"Corvallis, OR",2014,,,,,Living-with-Thunder-Exploring-the-Geologic-Past-Present-and-Future-of-the-Pacific-Northwest,Books,record,listing,eng,,
The Lockley Files: Conversations with Pioneer Women,Fred Lockley (compiled and edited by Mike Helm),Wallowa County History Collection,The-Lockley-Files-Conversations-with-Pioneer-Women,,,,Rainy Day Press,"Eugene, OR",1981,"second edition, 1993",,,,The-Lockley-Files-Conversations-with-Pioneer-Women,Books,record,listing,eng,,
"Looking Back at Enterprise, Oregon: a Photographic Portrait",Mark Highberger,Wallowa County History Collection,Looking-Back-at-Enterprise-Oregon-a-Photographic-Portrait,,,,editor; Bear Creek Press,"Wallowa, OR",2001,,,,,Looking-Back-at-Enterprise-Oregon-a-Photographic-Portrait,Books,record,listing,eng,,
