title,creator,collection,objectid,filename,youtubeid,imagelink,publisher/publication,place,date,description,subject,,physical location,identifier,formatoriginal,type,format,language,rights,rightsstatement
My Time in Tanzania,Olan Fulfer,Josephy Library Video Collection,My-Time-in-Tanzania,,sBUqm3qOnmY,,,Josephy Library,2021-10-06,Wallowa County Teacher teaches in Tanzania,tuesday talk,,YouTube Page,My-Time-in-Tanzania,Lecture Videos,video,video/mp4,eng,,
Book Club: Murder of Missionaries ,Blaine Harden,Josephy Library Video Collection,Book-Club-Murder-of-Missionaries-,,1-9AxQB_Jrs,,,Josephy Library,2021-10-07,Book Club: Murder at the Mission,special event,,YouTube Page,Book-Club-Murder-of-Missionaries-,Lecture Videos,video,video/mp4,eng,,
Art Matters:  2021,Josephy Center,Josephy Library Video Collection,Art-Matters-2021,,d38dRe-etMg,,,Josephy Library,2021-11-10,Giving Tuesday,special event,,YouTube Page,Art-Matters-2021,Lecture Videos,video,video/mp4,eng,,
Scientific and Nez Perce Information,"Roger Amerman, Ellen Bishop, Allen Pinkham",Josephy Library Video Collection,Scientific-and-Nez-Perce-Information,,I6LwQ8SDUKs,,,Josephy Library,2021-11-16,Fusion of geosciences & Nez Perce knowledge and stories. ,tuesday talk,,YouTube Page,Scientific-and-Nez-Perce-Information,Lecture Videos,video,video/mp4,eng,,
What's Available at the Josephy Center,Dawn Norman,Josephy Library Video Collection,What-s-Available-at-the-Josephy-Center,,5ZJN6peweiE,,,Josephy Library,2021-11-16,All the kinds of events and classes at Josephy Center,tuesday talk,,YouTube Page,What-s-Available-at-the-Josephy-Center,Lecture Videos,video,video/mp4,eng,,
Leah Johnson at Element,Leah Johnson,Josephy Library Video Collection,Leah-Johnson-at-Element,,7o0YatOQk6w,,,Josephy Library,2021-11-23,"Leah's store, Element, and classes in encaustic art",tuesday talk,,YouTube Page,Leah-Johnson-at-Element,Lecture Videos,video,video/mp4,eng,,
Book Group:  Scott Momaday,Rich Wandschneider,Josephy Library Video Collection,Book-Group-Scott-Momaday,,bDZZuyL0wQA,,,Josephy Library,2021-12-10,"Discussion of the book ""The Way to Rainy Mountain""",special event,,YouTube Page,Book-Group-Scott-Momaday,Lecture Videos,video,video/mp4,eng,,
"Reading ""A Child's Christmas in Wales""",Rich Wandschneider,Josephy Library Video Collection,Reading-A-Child-s-Christmas-in-Wales-,,i6qaq7gwbMA,,,Josephy Library,2021-12-23,A Christmas tradition,tuesday talk,,YouTube Page,Reading-A-Child-s-Christmas-in-Wales-,Lecture Videos,video,video/mp4,eng,,
Ellen Bishop:  Nature in Abstract Rocks,Ellen Bishop,Josephy Library Video Collection,Ellen-Bishop-Nature-in-Abstract-Rocks,,Z1xDihaaUhM,,,Josephy Library,2022-01-18,Rocks from Jupiter to Josephy and in between,tuesday talk,,YouTube Page,Ellen-Bishop-Nature-in-Abstract-Rocks,Lecture Videos,video,video/mp4,eng,,
Philosophy and Sport,John Frohmayer,Josephy Library Video Collection,Philosophy-and-Sport,,2Rg-MjAT-ZQ,,,Josephy Library,2022-02-01,A Conversation on Philosophy and various sports,tuesday talk,,YouTube Page,Philosophy-and-Sport,Lecture Videos,video,video/mp4,eng,,
Exhibit:  Nature in the Abstract,Ellen Bishop,Josephy Library Video Collection,Exhibit-Nature-in-the-Abstract,,APG26GJ4K1A,,,Josephy Library,2022-02-16,A walk thru the exhibit,tuesday talk,,YouTube Page,Exhibit-Nature-in-the-Abstract,Lecture Videos,video,video/mp4,eng,,
The Lighter Side:  Women's Art Exhibit,Kohle Kahle Riggs,Josephy Library Video Collection,The-Lighter-Side-Women-s-Art-Exhibit,,EXEtVH7UUJ0,,,Josephy Library,2022-03-08,A walk thru the exhibit,tuesday talk,,YouTube Page,The-Lighter-Side-Women-s-Art-Exhibit,Lecture Videos,video,video/mp4,eng,,
Susan Murrell tuesday talk,Susan Murrell,Josephy Library Video Collection,Susan-Murrell-tuesday-talk,,SWg3Nl35bbA,,,Josephy Library,2022-03-15,Relationship to Landscape:  The last 5 years of Susan's works,tuesday talk,,YouTube Page,Susan-Murrell-tuesday-talk,Lecture Videos,video,video/mp4,eng,,
Wallowa Music,"Heidi Muller, Kate Power & Lennie Anderson",Josephy Library Video Collection,Wallowa-Music,,QmEqpVS7pZ0,,,Josephy Library,2022-03-22,Music from 3 Wallowa County musicians,tuesday talk,,YouTube Page,Wallowa-Music,Music videos,video,video/mp4,eng,,
Violin with Robyn and Mike Burns,Robyn and Mike Burns,Josephy Library Video Collection,Violin-with-Robyn-and-Mike-Burns,,J7n_pyFdHkk,,,Josephy Library,2022-04-19,The workings of a full-service violin shop,tuesday talk,,YouTube Page,Violin-with-Robyn-and-Mike-Burns,Lecture Videos,video,video/mp4,eng,,
Interview with Roger Amerman,Roger Amerman,Josephy Library Video Collection,Interview-with-Roger-Amerman,,yuEzfr6KHJY,,,Josephy Library,2022-05-03,Roger Amerman's journey to master beader,tuesday talk,,YouTube Page,Interview-with-Roger-Amerman,Lecture Videos,video,video/mp4,eng,,
Josephy Center Spring Campaign,Josephy Staff,Josephy Library Video Collection,Josephy-Center-Spring-Campaign,,sxtNDJgKS9o,,,Josephy Library,2022-06-04,A fundraising video,special event,,YouTube Page,Josephy-Center-Spring-Campaign,Lecture Videos,video,video/mp4,eng,,
Suicide,"Mollie Cudmore, Chantay Jett",Josephy Library Video Collection,Suicide,,Wvi01O6cUxM,,,Josephy Library,2022-06-14,Wallowa County experience with Suicide,tuesday talk,,YouTube Page,Suicide,Lecture Videos,video,video/mp4,eng,,
Heartwood Exhibit,Steve Arment,Josephy Library Video Collection,Heartwood-Exhibit,,gn8i91J3kgo,,,Josephy Library,2022-06-21,The Heartwood Exhibit Walkthrough,tuesday talk,,YouTube Page,Heartwood-Exhibit,Lecture Videos,video,video/mp4,eng,,
"Sterling Webb, Moonshine Glass",Sterling Webb,Josephy Library Video Collection,Sterling-Webb-Moonshine-Glass,,YmxfwPXZYfE,,,Josephy Library,2022-07-19,An interview and demonstration of glass blowing,tuesday talk,,YouTube Page,Sterling-Webb-Moonshine-Glass,Lecture Videos,video,video/mp4,eng,,
